id, x, y, theta, volume, gfp, rfp, yfp, cfp
294, 145.336044, -153.347580, 8.405030, 3.625968, 0, 181, 0, 0
295, -187.579803, -169.621445, 6.796244, 3.784724, 189, 0, 0, 0
296, 337.670685, -523.690979, 7.984990, 3.441346, 0, 172, 0, 0
297, 423.987732, 258.966919, 7.172877, 3.890439, 0, 194, 0, 0
298, -228.528214, 263.437714, 11.837716, 2.993646, 0, 149, 0, 0
299, -493.851044, 400.093231, 9.938938, 2.476377, 123, 0, 0, 0
300, 168.769974, 479.957214, 10.305576, 3.492337, 0, 174, 0, 0
301, -101.731133, 178.016083, 8.471571, 3.682864, 0, 184, 0, 0
302, -432.644135, -145.949265, 9.370354, 3.786194, 189, 0, 0, 0
303, 80.964577, 324.252594, 7.689595, 3.467741, 0, 173, 0, 0
304, 42.173977, 116.493958, 10.697987, 2.937665, 146, 0, 0, 0
305, 40.754745, -443.191711, 7.706048, 3.738098, 186, 0, 0, 0
306, -275.615692, 445.909454, 7.861165, 2.930948, 146, 0, 0, 0
307, -532.881531, -376.568237, 10.734252, 3.541172, 0, 177, 0, 0
308, 207.783646, 146.081512, 7.050721, 2.854448, 142, 0, 0, 0
309, 385.414856, -121.125664, 9.374580, 3.023259, 0, 151, 0, 0
310, -14.755991, 661.907715, 9.559973, 2.742262, 0, 137, 0, 0
311, 123.666756, -603.593323, 5.632780, 3.094061, 0, 154, 0, 0
312, -456.192383, 420.291565, 9.343758, 2.898679, 0, 144, 0, 0
313, 196.849701, -37.799545, 12.623143, 3.385045, 0, 169, 0, 0
314, -329.197998, 443.724792, 10.064452, 3.071419, 0, 153, 0, 0
315, 446.708954, 47.578983, 9.665154, 3.647670, 0, 182, 0, 0
316, -95.161728, -275.598572, 7.408867, 2.212745, 0, 110, 0, 0
317, 284.550934, -552.708374, 8.620247, 3.057435, 152, 0, 0, 0
318, 206.651062, 626.209351, 8.642571, 3.451450, 172, 0, 0, 0
319, 480.706604, 104.389359, 10.363896, 3.142166, 157, 0, 0, 0
320, 440.940338, -358.973938, 5.363949, 2.937412, 146, 0, 0, 0
321, -229.297195, 480.608398, 11.129112, 3.025088, 0, 151, 0, 0
322, 179.333298, 627.772766, 5.991210, 3.520185, 176, 0, 0, 0
323, 254.349411, -137.442276, 9.272934, 2.833410, 0, 141, 0, 0
324, 116.085243, -317.028198, 8.158474, 4.046501, 202, 0, 0, 0
325, -209.962692, -0.367192, 6.340796, 2.636496, 131, 0, 0, 0
326, -239.912766, 87.160866, 9.107172, 3.230333, 0, 161, 0, 0
327, -48.673466, -649.513000, 11.024504, 2.924183, 146, 0, 0, 0
328, 351.348206, -61.472523, 12.237993, 3.265771, 0, 163, 0, 0
329, 593.734985, -105.769615, 8.996806, 2.812494, 0, 140, 0, 0
330, 183.956238, -476.470795, 11.248225, 3.383655, 0, 169, 0, 0
331, -442.915222, -96.800156, 6.217392, 3.249191, 0, 162, 0, 0
332, 331.052124, 337.992065, 10.794973, 3.245553, 162, 0, 0, 0
333, 596.528748, 25.073078, 8.706722, 3.204261, 0, 160, 0, 0
334, 460.357086, -2.209252, 9.527612, 2.864010, 0, 143, 0, 0
335, 330.090973, -264.947418, 5.849508, 3.802628, 190, 0, 0, 0
336, -380.997009, 414.971954, 10.505123, 3.084538, 0, 154, 0, 0
337, 538.193542, -151.355835, 5.543320, 3.170385, 0, 158, 0, 0
338, -471.901154, 175.008041, 9.491637, 3.067210, 0, 153, 0, 0
339, 193.801422, -115.641922, 8.953857, 2.659549, 132, 0, 0, 0
340, -89.611145, 305.670898, 8.164115, 3.112670, 0, 155, 0, 0
341, -209.081314, 136.979507, 5.898807, 2.803764, 140, 0, 0, 0
342, -336.721893, -511.694733, 7.624379, 2.837804, 141, 0, 0, 0
343, -117.088013, -506.895752, 10.591468, 2.743116, 0, 137, 0, 0
344, 459.999084, 124.084427, 13.496037, 3.286494, 164, 0, 0, 0
345, -56.923599, -320.653809, 9.855009, 2.626814, 0, 131, 0, 0
